site,id,name,timestamp,parameter,value,units
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:00:00Z,Baro,12.310339944372336,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:15:00Z,Baro,12.311345494588787,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:30:00Z,Baro,12.314259465814631,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:45:00Z,Baro,12.313232671579522,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:00:00Z,Baro,12.317516882008771,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:15:00Z,Baro,12.31872188995595,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:30:00Z,Baro,12.318529513564776,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:45:00Z,Baro,12.32108705736648,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:00:00Z,Baro,12.320042559782488,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:15:00Z,Baro,12.3242878228442,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:30:00Z,Baro,12.321267631525068,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:45:00Z,Baro,12.321136626743346,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T10:00:00Z,Baro,12.322457296569883,psi
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:00:00Z,Battery Level,97.601593017578125,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:15:00Z,Battery Level,97.57301330566406,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:30:00Z,Battery Level,97.55229949951172,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:45:00Z,Battery Level,97.53157806396484,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:00:00Z,Battery Level,97.51014709472656,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:15:00Z,Battery Level,97.48442840576172,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:30:00Z,Battery Level,97.45655822753906,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:45:00Z,Battery Level,97.43584442138672,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:00:00Z,Battery Level,97.41083526611328,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:15:00Z,Battery Level,97.3651123046875,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:30:00Z,Battery Level,97.33653259277344,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:45:00Z,Battery Level,97.31510162353516,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T10:00:00Z,Battery Level,97.293670654296875,%
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:00:00Z,Temperature,-0.6141014099121094,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:15:00Z,Temperature,-0.6248283386230469,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:30:00Z,Temperature,-0.6677284240722656,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T07:45:00Z,Temperature,-0.72135162353515625,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:00:00Z,Temperature,-0.91440582275390625,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:15:00Z,Temperature,-1.1610832214355469,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:30:00Z,Temperature,-1.2576065063476562,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T08:45:00Z,Temperature,-1.4721107482910156,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:00:00Z,Temperature,-1.590087890625,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:15:00Z,Temperature,-1.568634033203125,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:30:00Z,Temperature,-1.7295112609863281,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T09:45:00Z,Temperature,-1.9225654602050781,C
archery,4694831611904e3,archery-vulink-1011876-current,2024-11-01T10:00:00Z,Temperature,-2.1477928161621094,C
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,% Saturation O₂,70.03544616699219,% sat
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,% Saturation O₂,78.20645904541016,% sat
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,% Saturation O₂,75.774749755859375,% sat
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,% Saturation O₂,74.00605010986328,% sat
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,% Saturation O₂,70.376190185546875,% sat
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,% Saturation O₂,73.28386688232422,% sat
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,% Saturation O₂,67.99300384521484,% sat
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,% Saturation O₂,74.45088195800781,% sat
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,% Saturation O₂,73.12955474853516,% sat
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,% Saturation O₂,73.80034637451172,% sat
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,% Saturation O₂,75.42924499511719,% sat
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,% Saturation O₂,76.91097259521484,% sat
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,% Saturation O₂,76.38365936279297,% sat
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,Actual Conductivity,888.67791748046875,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,Actual Conductivity,888.75732421875,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,Actual Conductivity,888.83233642578125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,Actual Conductivity,887.89300537109375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,Actual Conductivity,886.958984375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,Actual Conductivity,888.2005615234375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,Actual Conductivity,887.30645751953125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,Actual Conductivity,887.7921142578125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,Actual Conductivity,887.7462158203125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,Actual Conductivity,881.76959228515625,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,Actual Conductivity,781.66845703125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,Actual Conductivity,774.1689453125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,Actual Conductivity,727.40496826171875,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,Chl-a Fluorescence,0.27690640091896057,RFU
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,Chl-a Fluorescence,0.102747343480587,RFU
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,Chl-a Fluorescence,0.3311375081539154,RFU
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,Chl-a Fluorescence,0.3332912027835846,RFU
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,Chl-a Fluorescence,0.31436753273010254,RFU
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,Chl-a Fluorescence,0.12555228173732758,RFU
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,Chl-a Fluorescence,0.16396291553974152,RFU
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,Chl-a Fluorescence,0.11596958339214325,RFU
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,Chl-a Fluorescence,0.41619014739990234,RFU
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,Chl-a Fluorescence,0.2972474694252014,RFU
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,Chl-a Fluorescence,0.34755444526672363,RFU
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,Chl-a Fluorescence,0.22926685214042664,RFU
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,Chl-a Fluorescence,0.5706427693367004,RFU
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,DO,6.617493152618408,mg/L
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,DO,7.396633148193359,mg/L
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,DO,7.171669960021973,mg/L
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,DO,7.013951301574707,mg/L
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,DO,6.68567419052124,mg/L
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,DO,6.9712958335876465,mg/L
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,DO,6.479262351989746,mg/L
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,DO,7.099818706512451,mg/L
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,DO,6.993244171142578,mg/L
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,DO,7.087649822235107,mg/L
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,DO,7.360914707183838,mg/L
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,DO,7.555542469024658,mg/L
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,DO,7.596279621124268,mg/L
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,Depth,0.3834453085899353,m
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,Depth,0.38118000354766846,m
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,Depth,0.3808088416099549,m
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,Depth,0.3789810461997986,m
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,Depth,0.37877477245330815,m
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,Depth,0.37804175033569337,m
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,Depth,0.3807212379455567,m
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,Depth,0.4049359663009644,m
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,Depth,0.44412434463500977,m
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,Depth,0.4658726537704468,m
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,Depth,0.47417291021347047,m
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,Depth,0.47681253833770754,m
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,Depth,0.47843660345077516,m
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,External Voltage,15.605999946594238,V
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,External Voltage,15.614999771118164,V
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,External Voltage,15.633000373840332,V
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,External Voltage,15.62399959564209,V
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,External Voltage,15.597000122070312,V
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,External Voltage,15.62399959564209,V
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,External Voltage,15.605999946594238,V
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,External Voltage,15.597000122070312,V
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,External Voltage,15.62399959564209,V
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,External Voltage,15.614999771118164,V
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,External Voltage,15.605999946594238,V
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,External Voltage,15.605999946594238,V
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,External Voltage,15.597000122070312,V
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,ORP,0.307053466796875,V
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,ORP,0.30812634277343753,V
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,ORP,0.30965222167968753,V
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,ORP,0.31361474609375,V
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,ORP,0.31472100830078126,V
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,ORP,0.3138388671875,V
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,ORP,0.31717193603515625,V
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,ORP,0.32193554687500003,V
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,ORP,0.32697094726562503,V
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,ORP,0.3315104370117188,V
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,ORP,0.33131494140625,V
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,ORP,0.3357972106933594,V
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,ORP,0.3387774353027344,V
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,Pressure,0.2733039855957031,psi
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,Pressure,0.26956748962402344,psi
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,Pressure,0.26906299591064453,psi
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,Pressure,0.2664632797241211,psi
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,Pressure,0.2661323547363281,psi
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,Pressure,0.26561832427978516,psi
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,Pressure,0.26890087127685547,psi
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,Pressure,0.30381011962890625,psi
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,Pressure,0.35907649993896484,psi
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,Pressure,0.39000988006591797,psi
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,Pressure,0.40183448791503906,psi
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,Pressure,0.4055747985839844,psi
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,Pressure,0.4078989028930664,psi
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,Specific Conductivity,1253.327880859375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,Specific Conductivity,1254.68505859375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,Specific Conductivity,1255.4493408203125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,Specific Conductivity,1256.2095947265625,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,Specific Conductivity,1257.74853515625,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:15:00Z,Specific Conductivity,1261.313720703125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:30:00Z,Specific Conductivity,1262.5626220703125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T08:45:00Z,Specific Conductivity,1264.00390625,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:00:00Z,Specific Conductivity,1268.0828857421875,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:15:00Z,Specific Conductivity,1265.1759033203125,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:30:00Z,Specific Conductivity,1142.017822265625,µS/cm
archery,6711733744959488,archery - current,2024-11-01T09:45:00Z,Specific Conductivity,1139.720458984375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T10:00:00Z,Specific Conductivity,1085.73974609375,µS/cm
archery,6711733744959488,archery - current,2024-11-01T07:00:00Z,Temperature,9.763304710388184,C
archery,6711733744959488,archery - current,2024-11-01T07:15:00Z,Temperature,9.730412483215332,C
archery,6711733744959488,archery - current,2024-11-01T07:30:00Z,Temperature,9.71096420288086,C
archery,6711733744959488,archery - current,2024-11-01T07:45:00Z,Temperature,9.649382591247559,C
archery,6711733744959488,archery - current,2024-11-01T08:00:00Z,Temperature,9.565223693847656,C
