site,id,name,timestamp,parameter,value,units
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:00:00Z,% Saturation O₂,75.03315867431641,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:15:00Z,% Saturation O₂,74.65313860351563,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:30:00Z,% Saturation O₂,74.30589147216797,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:45:00Z,% Saturation O₂,73.92631515380859,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:00:00Z,% Saturation O₂,73.74369906005859,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:15:00Z,% Saturation O₂,73.9319088269043,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:30:00Z,% Saturation O₂,73.55363482177734,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:45:00Z,% Saturation O₂,74.38404041625977,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:00:00Z,% Saturation O₂,77.59969164916993,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:15:00Z,% Saturation O₂,80.75613401660156,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:30:00Z,% Saturation O₂,82.09236953979493,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:45:00Z,% Saturation O₂,82.52205828979493,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T10:00:00Z,% Saturation O₂,82.41030060424805,% sat
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:00:00Z,Actual Conductivity,633.9462140136718,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:15:00Z,Actual Conductivity,636.8093936035157,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:30:00Z,Actual Conductivity,640.1982410937501,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:45:00Z,Actual Conductivity,643.3289092285156,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:00:00Z,Actual Conductivity,646.88769765625,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:15:00Z,Actual Conductivity,614.7214377734375,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:30:00Z,Actual Conductivity,628.9095479492187,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T08:45:00Z,Actual Conductivity,625.6993404101563,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:00:00Z,Actual Conductivity,554.514160078125,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:15:00Z,Actual Conductivity,481.42721778808595,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:30:00Z,Actual Conductivity,452.6939396044922,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T09:45:00Z,Actual Conductivity,447.4820275732422,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T10:00:00Z,Actual Conductivity,453.58197010742185,µS/cm
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:00:00Z,Baro,12.315562887386378,psi
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:15:00Z,Baro,12.317484963106782,psi
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:30:00Z,Baro,12.319134390259205,psi
boxelder,6045035458854912,boxelder - at700 - current,2024-11-01T07:45:00Z,Baro,12.31843053154469,psi
