site,id,name,timestamp,parameter,value,units
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:00:00Z,Baro,12.253117999895277,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:15:00Z,Baro,12.25227886115831,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:30:00Z,Baro,12.25504530447681,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:45:00Z,Baro,12.255576404943247,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:00:00Z,Baro,12.253405974370411,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:15:00Z,Baro,12.257251141747407,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:30:00Z,Baro,12.25966941920458,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:45:00Z,Baro,12.262608175118856,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:00:00Z,Baro,12.261407888064712,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:15:00Z,Baro,12.264245144778737,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:30:00Z,Baro,12.26145745744158,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:45:00Z,Baro,12.26253028038378,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T10:00:00Z,Baro,12.262457106541737,psi
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:00:00Z,Battery Level,50.8787727355957,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:15:00Z,Battery Level,50.87234115600586,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:30:00Z,Battery Level,50.865196228027344,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:45:00Z,Battery Level,50.858055114746094,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:00:00Z,Battery Level,50.845909118652344,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:15:00Z,Battery Level,50.8394775390625,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:30:00Z,Battery Level,50.832332611083984,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:45:00Z,Battery Level,50.82590103149414,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:00:00Z,Battery Level,50.81732940673828,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:15:00Z,Battery Level,50.7866096496582,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:30:00Z,Battery Level,50.78017807006836,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:45:00Z,Battery Level,50.77231979370117,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T10:00:00Z,Battery Level,50.765174865722656,%
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:00:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:15:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:30:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:45:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:00:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:15:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:30:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:45:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:00:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:15:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:30:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:45:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T10:00:00Z,Pulse,0,Hz
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:00:00Z,Temperature,2.1744232177734375,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:15:00Z,Temperature,1.992095947265625,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:30:00Z,Temperature,1.7561454772949219,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T07:45:00Z,Temperature,1.5630912780761719,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:00:00Z,Temperature,1.35931396484375,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:15:00Z,Temperature,1.1555404663085938,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:30:00Z,Temperature,0.9839363098144531,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T08:45:00Z,Temperature,0.8659629821777344,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:00:00Z,Temperature,0.74798583984375,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:15:00Z,Temperature,0.7158088684082031,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:30:00Z,Temperature,0.5334815979003906,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T09:45:00Z,Temperature,0.35115814208984375,C
legacy,4939607468802048,legacy-vulink-1011567-current,2024-11-01T10:00:00Z,Temperature,0.17955398559570312,C
legacy,5228254252367872,legacy- current,2024-11-01T07:00:00Z,% Saturation O₂,93.06664276123047,% sat
legacy,5228254252367872,legacy- current,2024-11-01T07:15:00Z,% Saturation O₂,92.911529541015625,% sat
legacy,5228254252367872,legacy- current,2024-11-01T07:30:00Z,% Saturation O₂,92.8629379272461,% sat
legacy,5228254252367872,legacy- current,2024-11-01T07:45:00Z,% Saturation O₂,93.039886474609375,% sat
legacy,5228254252367872,legacy- current,2024-11-01T08:00:00Z,% Saturation O₂,92.84239196777344,% sat
legacy,5228254252367872,legacy- current,2024-11-01T08:15:00Z,% Saturation O₂,93.06026458740234,% sat
legacy,5228254252367872,legacy- current,2024-11-01T08:30:00Z,% Saturation O₂,94.051239013671875,% sat
legacy,5228254252367872,legacy- current,2024-11-01T08:45:00Z,% Saturation O₂,93.7284927368164,% sat
legacy,5228254252367872,legacy- current,2024-11-01T09:00:00Z,% Saturation O₂,93.69652557373047,% sat
legacy,5228254252367872,legacy- current,2024-11-01T09:15:00Z,% Saturation O₂,93.629058837890625,% sat
legacy,5228254252367872,legacy- current,2024-11-01T09:30:00Z,% Saturation O₂,93.94286346435547,% sat
legacy,5228254252367872,legacy- current,2024-11-01T09:45:00Z,% Saturation O₂,93.71131896972656,% sat
legacy,5228254252367872,legacy- current,2024-11-01T10:00:00Z,% Saturation O₂,93.8266830444336,% sat
legacy,5228254252367872,legacy- current,2024-11-01T07:00:00Z,Actual Conductivity,152.60914611816406,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T07:15:00Z,Actual Conductivity,152.90524291992188,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T07:30:00Z,Actual Conductivity,153.40960693359375,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T07:45:00Z,Actual Conductivity,153.48403930664062,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T08:00:00Z,Actual Conductivity,153.87530517578125,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T08:15:00Z,Actual Conductivity,154.28358459472656,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T08:30:00Z,Actual Conductivity,153.7658233642578,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T08:45:00Z,Actual Conductivity,155.6560516357422,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T09:00:00Z,Actual Conductivity,157.3443603515625,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T09:15:00Z,Actual Conductivity,156.2062530517578,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T09:30:00Z,Actual Conductivity,154.75148010253906,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T09:45:00Z,Actual Conductivity,155.54330444335938,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T10:00:00Z,Actual Conductivity,155.975830078125,µS/cm
legacy,5228254252367872,legacy- current,2024-11-01T07:00:00Z,DO,8.766737937927246,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T07:15:00Z,DO,8.768769264221191,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T07:30:00Z,DO,8.785387992858887,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T07:45:00Z,DO,8.8214263916015625,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T08:00:00Z,DO,8.820965766906738,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T08:15:00Z,DO,8.865726470947266,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T08:30:00Z,DO,8.980840682983398,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T08:45:00Z,DO,8.96934700012207,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T09:00:00Z,DO,8.982282638549805,mg/L
legacy,5228254252367872,legacy- current,2024-11-01T09:15:00Z,DO,8.993165969848633,mg/L
