site,id,name,timestamp,parameter,value,units
prospect,5965034640244736,prospect - current ,2024-11-01T07:00:00Z,% Saturation O₂,81.5801773071289,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T07:15:00Z,% Saturation O₂,83.05791473388672,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T07:30:00Z,% Saturation O₂,84.17517852783203,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T07:45:00Z,% Saturation O₂,84.82524108886719,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T08:00:00Z,% Saturation O₂,85.59303283691406,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T08:15:00Z,% Saturation O₂,85.81395721435547,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T08:30:00Z,% Saturation O₂,86.2768783569336,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T08:45:00Z,% Saturation O₂,86.53656005859375,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T09:00:00Z,% Saturation O₂,86.78926086425781,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T09:15:00Z,% Saturation O₂,87.06377410888672,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T09:30:00Z,% Saturation O₂,87.40779876708984,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T09:45:00Z,% Saturation O₂,87.51348876953125,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T10:00:00Z,% Saturation O₂,87.55474090576172,% sat
prospect,5965034640244736,prospect - current ,2024-11-01T07:00:00Z,Actual Conductivity,406.0449523925781,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T07:15:00Z,Actual Conductivity,339.65399169921875,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T07:30:00Z,Actual Conductivity,299.89483642578125,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T07:45:00Z,Actual Conductivity,277.2774658203125,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T08:00:00Z,Actual Conductivity,262.4208068847656,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T08:15:00Z,Actual Conductivity,254.53614807128906,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T08:30:00Z,Actual Conductivity,249.9794921875,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T08:45:00Z,Actual Conductivity,246.02139282226562,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T09:00:00Z,Actual Conductivity,241.95242309570312,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T09:15:00Z,Actual Conductivity,238.02328491210938,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T09:30:00Z,Actual Conductivity,235.0843505859375,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T09:45:00Z,Actual Conductivity,233.01719665527344,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T10:00:00Z,Actual Conductivity,231.59051513671875,µS/cm
prospect,5965034640244736,prospect - current ,2024-11-01T07:00:00Z,Baro,12.293774330712571,psi
prospect,5965034640244736,prospect - current ,2024-11-01T07:15:00Z,Baro,12.293232608236806,psi
