site,id,name,timestamp,parameter,value,units
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:00:00Z,Baro,12.342462080805634,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:15:00Z,Baro,12.345577870208725,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:30:00Z,Baro,12.341965206813702,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:45:00Z,Baro,12.348013851014777,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T08:00:00Z,Baro,12.346523229038981,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T08:15:00Z,Baro,12.349918731354393,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T08:30:00Z,Baro,12.349785366126156,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T08:45:00Z,Baro,12.350088683503653,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T09:00:00Z,Baro,12.353661219307877,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T09:15:00Z,Baro,12.356362750347149,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T09:30:00Z,Baro,12.355647535052348,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T09:45:00Z,Baro,12.35258603591916,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T10:00:00Z,Baro,12.353671841317206,psi
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:00:00Z,Battery Level,94.08150482177734,%
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:15:00Z,Battery Level,94.0743637084961,%
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:30:00Z,Battery Level,94.066497802734375,%
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T07:45:00Z,Battery Level,94.059356689453125,%
riverbluffs,4886292563361792,riverbluffs-vulink-1011908-current,2024-11-01T08:00:00Z,Battery Level,94.05149841308594,%
