site,id,name,timestamp,parameter,value,units
elc,6080839209254912,elc - current,2025-03-28T15:12:00Z,% Saturation O₂,85.20287322998047,% sat
elc,6080839209254912,elc - current,2025-03-28T15:30:00Z,% Saturation O₂,86.76139831542969,% sat
elc,6080839209254912,elc - current,2025-03-28T15:45:00Z,% Saturation O₂,88.4313735961914,% sat
elc,6080839209254912,elc - current,2025-03-28T16:00:00Z,% Saturation O₂,90.28215789794922,% sat
elc,6080839209254912,elc - current,2025-03-28T16:15:00Z,% Saturation O₂,92.17540740966797,% sat
elc,6080839209254912,elc - current,2025-03-28T16:30:00Z,% Saturation O₂,94.046630859375,% sat
elc,6080839209254912,elc - current,2025-03-28T16:45:00Z,% Saturation O₂,96.61125946044922,% sat
elc,6080839209254912,elc - current,2025-03-28T17:00:00Z,% Saturation O₂,99.4659423828125,% sat
elc,6080839209254912,elc - current,2025-03-28T17:15:00Z,% Saturation O₂,102.61662292480469,% sat
elc,6080839209254912,elc - current,2025-03-28T17:30:00Z,% Saturation O₂,105.7298812866211,% sat
elc,6080839209254912,elc - current,2025-03-28T17:45:00Z,% Saturation O₂,107.04997253417969,% sat
elc,6080839209254912,elc - current,2025-03-28T18:00:00Z,% Saturation O₂,106.93543243408203,% sat
elc,6080839209254912,elc - current,2025-03-28T18:15:00Z,% Saturation O₂,107.8316879272461,% sat
elc,6080839209254912,elc - current,2025-03-28T18:30:00Z,% Saturation O₂,110.15213012695312,% sat
elc,6080839209254912,elc - current,2025-03-28T18:45:00Z,% Saturation O₂,112.83548736572266,% sat
elc,6080839209254912,elc - current,2025-03-28T19:00:00Z,% Saturation O₂,114.42112731933594,% sat
elc,6080839209254912,elc - current,2025-03-28T19:15:00Z,% Saturation O₂,115.48088836669922,% sat
elc,6080839209254912,elc - current,2025-03-28T19:30:00Z,% Saturation O₂,116.30397033691406,% sat
elc,6080839209254912,elc - current,2025-03-28T19:45:00Z,% Saturation O₂,117.23893737792969,% sat
elc,6080839209254912,elc - current,2025-03-28T20:00:00Z,% Saturation O₂,117.9693374633789,% sat
elc,6080839209254912,elc - current,2025-03-28T20:15:00Z,% Saturation O₂,118.18242645263672,% sat
elc,6080839209254912,elc - current,2025-03-28T20:30:00Z,% Saturation O₂,118.43048858642578,% sat
elc,6080839209254912,elc - current,2025-03-28T20:45:00Z,% Saturation O₂,118.38782501220703,% sat
elc,6080839209254912,elc - current,2025-03-28T21:00:00Z,% Saturation O₂,118.45631408691406,% sat
elc,6080839209254912,elc - current,2025-03-28T21:15:00Z,% Saturation O₂,117.80271911621094,% sat
elc,6080839209254912,elc - current,2025-03-28T21:30:00Z,% Saturation O₂,117.59810638427734,% sat
elc,6080839209254912,elc - current,2025-03-28T21:45:00Z,% Saturation O₂,117.06759643554688,% sat
elc,6080839209254912,elc - current,2025-03-28T22:00:00Z,% Saturation O₂,116.70494079589844,% sat
elc,6080839209254912,elc - current,2025-03-28T15:12:00Z,Actual Conductivity,753.07568359375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T15:30:00Z,Actual Conductivity,760.7691650390625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T15:45:00Z,Actual Conductivity,767.05255126953125,µS/cm
elc,6080839209254912,elc - current,2025-03-28T16:00:00Z,Actual Conductivity,780.77880859375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T16:15:00Z,Actual Conductivity,795.898193359375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T16:30:00Z,Actual Conductivity,801.2137451171875,µS/cm
elc,6080839209254912,elc - current,2025-03-28T16:45:00Z,Actual Conductivity,812.9696044921875,µS/cm
elc,6080839209254912,elc - current,2025-03-28T17:00:00Z,Actual Conductivity,818.43353271484375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T17:15:00Z,Actual Conductivity,825.15728759765625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T17:30:00Z,Actual Conductivity,830.943359375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T17:45:00Z,Actual Conductivity,827.9647216796875,µS/cm
elc,6080839209254912,elc - current,2025-03-28T18:00:00Z,Actual Conductivity,818.5224609375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T18:15:00Z,Actual Conductivity,808.975341796875,µS/cm
elc,6080839209254912,elc - current,2025-03-28T18:30:00Z,Actual Conductivity,807.010986328125,µS/cm
elc,6080839209254912,elc - current,2025-03-28T18:45:00Z,Actual Conductivity,804.80712890625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T19:00:00Z,Actual Conductivity,801.41461181640625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T19:15:00Z,Actual Conductivity,796.54656982421875,µS/cm
elc,6080839209254912,elc - current,2025-03-28T19:30:00Z,Actual Conductivity,795.20416259765625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T19:45:00Z,Actual Conductivity,801.0162353515625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T20:00:00Z,Actual Conductivity,806.89947509765625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T20:15:00Z,Actual Conductivity,812.578369140625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T20:30:00Z,Actual Conductivity,823.20745849609375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T20:45:00Z,Actual Conductivity,829.3658447265625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T21:00:00Z,Actual Conductivity,836.9501953125,µS/cm
elc,6080839209254912,elc - current,2025-03-28T21:15:00Z,Actual Conductivity,840.841796875,µS/cm
elc,6080839209254912,elc - current,2025-03-28T21:30:00Z,Actual Conductivity,847.06353759765625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T21:45:00Z,Actual Conductivity,848.3167724609375,µS/cm
elc,6080839209254912,elc - current,2025-03-28T22:00:00Z,Actual Conductivity,844.83697509765625,µS/cm
elc,6080839209254912,elc - current,2025-03-28T15:12:00Z,Baro,12.224031397683474,psi
elc,6080839209254912,elc - current,2025-03-28T15:30:00Z,Baro,12.221763008580163,psi
elc,6080839209254912,elc - current,2025-03-28T15:45:00Z,Baro,12.219598479123622,psi
elc,6080839209254912,elc - current,2025-03-28T16:00:00Z,Baro,12.218033503082525,psi
elc,6080839209254912,elc - current,2025-03-28T16:15:00Z,Baro,12.21930932442523,psi
elc,6080839209254912,elc - current,2025-03-28T16:30:00Z,Baro,12.220051684854981,psi
elc,6080839209254912,elc - current,2025-03-28T16:45:00Z,Baro,12.21750240261609,psi
elc,6080839209254912,elc - current,2025-03-28T17:00:00Z,Baro,12.21749178060676,psi
elc,6080839209254912,elc - current,2025-03-28T17:15:00Z,Baro,12.217353694485487,psi
elc,6080839209254912,elc - current,2025-03-28T17:30:00Z,Baro,12.216259627524629,psi
elc,6080839209254912,elc - current,2025-03-28T17:45:00Z,Baro,12.213352737638337,psi
elc,6080839209254912,elc - current,2025-03-28T18:00:00Z,Baro,12.210212163546814,psi
elc,6080839209254912,elc - current,2025-03-28T18:15:00Z,Baro,12.206776533640603,psi
elc,6080839209254912,elc - current,2025-03-28T18:30:00Z,Baro,12.204210728276088,psi
elc,6080839209254912,elc - current,2025-03-28T18:45:00Z,Baro,12.203377490655413,psi
elc,6080839209254912,elc - current,2025-03-28T19:00:00Z,Baro,12.201458447636691,psi
elc,6080839209254912,elc - current,2025-03-28T19:15:00Z,Baro,12.199082658216835,psi
elc,6080839209254912,elc - current,2025-03-28T19:30:00Z,Baro,12.19692284965333,psi
elc,6080839209254912,elc - current,2025-03-28T19:45:00Z,Baro,12.193091844955438,psi
elc,6080839209254912,elc - current,2025-03-28T20:00:00Z,Baro,12.191070122513207,psi
elc,6080839209254912,elc - current,2025-03-28T20:15:00Z,Baro,12.188669548404917,psi
elc,6080839209254912,elc - current,2025-03-28T20:30:00Z,Baro,12.186767028511817,psi
elc,6080839209254912,elc - current,2025-03-28T20:45:00Z,Baro,12.186235928045381,psi
elc,6080839209254912,elc - current,2025-03-28T21:00:00Z,Baro,12.1860293889751,psi
elc,6080839209254912,elc - current,2025-03-28T21:15:00Z,Baro,12.18723439692228,psi
elc,6080839209254912,elc - current,2025-03-28T21:30:00Z,Baro,12.18440186110129,psi
elc,6080839209254912,elc - current,2025-03-28T21:45:00Z,Baro,12.18613324862187,psi
elc,6080839209254912,elc - current,2025-03-28T22:00:00Z,Baro,12.188188017315348,psi
elc,6080839209254912,elc - current,2025-03-28T15:12:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T15:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T15:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T16:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T16:15:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T16:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T16:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T17:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T17:15:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T17:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T17:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T18:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T18:15:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T18:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T18:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T19:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T19:15:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T19:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T19:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T20:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T20:15:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T20:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T20:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T21:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T21:15:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T21:30:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T21:45:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T22:00:00Z,Battery Level,80,%
elc,6080839209254912,elc - current,2025-03-28T15:12:00Z,Chl-a Fluorescence,0.056499410420656204,RFU
elc,6080839209254912,elc - current,2025-03-28T15:30:00Z,Chl-a Fluorescence,0.05329643934965134,RFU
elc,6080839209254912,elc - current,2025-03-28T15:45:00Z,Chl-a Fluorescence,0.0554991252720356,RFU
elc,6080839209254912,elc - current,2025-03-28T16:00:00Z,Chl-a Fluorescence,0.04570012167096138,RFU
elc,6080839209254912,elc - current,2025-03-28T16:15:00Z,Chl-a Fluorescence,0.05018267780542374,RFU
elc,6080839209254912,elc - current,2025-03-28T16:30:00Z,Chl-a Fluorescence,0.04598219692707062,RFU
elc,6080839209254912,elc - current,2025-03-28T16:45:00Z,Chl-a Fluorescence,0.04397398233413696,RFU
elc,6080839209254912,elc - current,2025-03-28T17:00:00Z,Chl-a Fluorescence,0.039078693836927414,RFU
elc,6080839209254912,elc - current,2025-03-28T17:15:00Z,Chl-a Fluorescence,0.04116504266858101,RFU
elc,6080839209254912,elc - current,2025-03-28T17:30:00Z,Chl-a Fluorescence,0.043839212507009506,RFU
elc,6080839209254912,elc - current,2025-03-28T17:45:00Z,Chl-a Fluorescence,0.0541856475174427,RFU
elc,6080839209254912,elc - current,2025-03-28T18:00:00Z,Chl-a Fluorescence,0.058918505907058716,RFU
elc,6080839209254912,elc - current,2025-03-28T18:15:00Z,Chl-a Fluorescence,0.046943940222263336,RFU
elc,6080839209254912,elc - current,2025-03-28T18:30:00Z,Chl-a Fluorescence,0.04520256817340851,RFU
elc,6080839209254912,elc - current,2025-03-28T18:45:00Z,Chl-a Fluorescence,0.04398418217897415,RFU
elc,6080839209254912,elc - current,2025-03-28T19:00:00Z,Chl-a Fluorescence,0.05811819061636925,RFU
elc,6080839209254912,elc - current,2025-03-28T19:15:00Z,Chl-a Fluorescence,0.050815433263778687,RFU
elc,6080839209254912,elc - current,2025-03-28T19:30:00Z,Chl-a Fluorescence,0.06167903542518616,RFU
elc,6080839209254912,elc - current,2025-03-28T19:45:00Z,Chl-a Fluorescence,0.06759136915206909,RFU
elc,6080839209254912,elc - current,2025-03-28T20:00:00Z,Chl-a Fluorescence,0.06672477722167969,RFU
elc,6080839209254912,elc - current,2025-03-28T20:15:00Z,Chl-a Fluorescence,0.059254229068756104,RFU
elc,6080839209254912,elc - current,2025-03-28T20:30:00Z,Chl-a Fluorescence,0.07227684557437897,RFU
elc,6080839209254912,elc - current,2025-03-28T20:45:00Z,Chl-a Fluorescence,0.06673463433980942,RFU
elc,6080839209254912,elc - current,2025-03-28T21:00:00Z,Chl-a Fluorescence,0.07688173651695251,RFU
elc,6080839209254912,elc - current,2025-03-28T21:15:00Z,Chl-a Fluorescence,0.0776461735367775,RFU
elc,6080839209254912,elc - current,2025-03-28T21:30:00Z,Chl-a Fluorescence,0.07818514853715897,RFU
elc,6080839209254912,elc - current,2025-03-28T21:45:00Z,Chl-a Fluorescence,0.07893326878547668,RFU
elc,6080839209254912,elc - current,2025-03-28T22:00:00Z,Chl-a Fluorescence,0.08034935593605042,RFU
elc,6080839209254912,elc - current,2025-03-28T15:12:00Z,DO,7.976673603057861,mg/L
elc,6080839209254912,elc - current,2025-03-28T15:30:00Z,DO,8.112198829650879,mg/L
elc,6080839209254912,elc - current,2025-03-28T15:45:00Z,DO,8.249276161193848,mg/L
elc,6080839209254912,elc - current,2025-03-28T16:00:00Z,DO,8.396838188171387,mg/L
elc,6080839209254912,elc - current,2025-03-28T16:15:00Z,DO,8.520926475524902,mg/L
elc,6080839209254912,elc - current,2025-03-28T16:30:00Z,DO,8.677523612976074,mg/L
elc,6080839209254912,elc - current,2025-03-28T16:45:00Z,DO,8.856034278869629,mg/L
elc,6080839209254912,elc - current,2025-03-28T17:00:00Z,DO,9.055524826049805,mg/L
elc,6080839209254912,elc - current,2025-03-28T17:15:00Z,DO,9.251625061035156,mg/L
elc,6080839209254912,elc - current,2025-03-28T17:30:00Z,DO,9.446688652038574,mg/L
